Mes,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,Escolaridad,CLASE,MARCA,LINEA,MODELO,COLOR,Cantidad
Ene,ATLÁNTICO,BARRANQUILLA (CT),Martes,13:00:00,GARDENIAS,URBANA,VEHICULO,ARMA DE FUEGO,PASAJERO VEHICULO,CONDUCTOR VEHICULO,36,MASCULINO,UNION LIBRE,SECUNDARIA,CAMION,CHEVROLET,LINEA STANDARD,2012,AMARILLO,1
Ene,CÓRDOBA,SAN PELAYO,Martes,0:00:00,CGTO PELAYITO,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,28,MASCULINO,UNION LIBRE,SUPERIOR,COSECHADORA,JHON DEERE,LINEA STANDARD,1989,VERDE,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,10:00:00,FONTIBON CENTRO E-9,URBANA,PARQUEADERO,SIN EMPLEO DE ARMAS,A PIE,A PIE,42,MASCULINO,CASADO,SUPERIOR,AUTOMOVIL,KIA,SPORTAGE,1994,AZUL,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,14:40:00,EL PARAISO E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,29,MASCULINO,UNION LIBRE,PRIMARIA,CAMION,FOTON,BJ5089VEBEA-FA,2013,ROJO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,0:05:00,VILLA DEL RIO E-7,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,37,MASCULINO,CASADO,SECUNDARIA,AUTOMOVIL,RENAULT,LOGAN EXPRESSION,2011,NEGRO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,20:36:00,FONTIBÓN UNIDAD RESIDENCIAL E-9,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,41,MASCULINO,SOLTERO,SUPERIOR,AUTOMOVIL,CHEVROLET,SPARK,2015,BLANCO,1
Ene,CUNDINAMARCA,FUNZA,Martes,0:00:00,VER. EL CERRITO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,22,MASCULINO,SOLTERO,NO REPORTA,AUTOMOVIL,RENAULT,R 9 BRIO,1993,NO REPORTA,1
Ene,GUAJIRA,ALBANIA,Martes,3:00:00,EL MOLINO,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,48,FEMENINO,UNION LIBRE,SECUNDARIA,AUTOMOVIL,MAZDA,626-L,1993,PERLA,1
Ene,GUAJIRA,MAICAO,Martes,5:00:00,CENTRO,URBANA,VEHICULO,ARMA DE FUEGO,A PIE,A PIE,48,MASCULINO,UNION LIBRE,SECUNDARIA,CAMIONETA,MAZDA,LINEA STANDARD,2011,PLATA,1
Ene,NARIÑO,IPIALES,Martes,12:30:00,BELLA VISTA,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,46,MASCULINO,CASADO,PRIMARIA,CAMIONETA,CHEVROLET,LUV TFS,1990,AZUL,1
Ene,NARIÑO,IPIALES,Martes,12:15:00,BELLA VISTA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,CONDUCTOR VEHICULO,35,FEMENINO,SOLTERO,PRIMARIA,CAMIONETA,CHEVROLET,LUV,1994,ROJO,1
Ene,NARIÑO,PASTO (CT),Martes,18:00:00,JULIAN BUCHELI,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,CONDUCTOR VEHICULO,29,MASCULINO,SOLTERO,SECUNDARIA,AUTOMOVIL,RENAULT,CLIO DYNAMIQUE,2005,ROJO,1
Ene,VALLE,CALI (CT),Martes,10:00:00,GUAYAQUIL E9,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,60,FEMENINO,SOLTERO,PRIMARIA,AUTOMOVIL,RENAULT,R 6,1981,AMARILLO,1
Ene,ANTIOQUIA,BELLO,Miércoles,21:30:00,SAN JOSE OBRERO,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,25,MASCULINO,SOLTERO,SUPERIOR,AUTOMOVIL,CHEVROLET,OPTRA,2007,NEGRO,1
Ene,ANTIOQUIA,BELLO,Miércoles,2:57:00,LA FLORIDA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR VEHICULO,33,FEMENINO,SOLTERO,SECUNDARIA,AUTOMOVIL,RENAULT,TWINGO ACCESS PLUS,2012,GRIS,1
Ene,ANTIOQUIA,ITAGUI,Miércoles,22:30:00,SAN GABRIEL,URBANA,PARQUEADERO,LLAVE MAESTRA,A PIE,A PIE,40,MASCULINO,CASADO,SECUNDARIA,CAMIONETA,TOYOTA,SIN LINEA,1998,VINOTINTO,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Miércoles,22:00:00,TEJELO C-5,URBANA,SOBRE ANDEN - VIA PUBLICA,LLAVE MAESTRA,A PIE,A PIE,50,MASCULINO,UNION LIBRE,SECUNDARIA,CAMIONETA,CHEVROLET,LUV,1992,BLANCO,1
Ene,ATLÁNTICO,BARRANQUILLA (CT),Miércoles,14:00:00,SAN LUIS,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO VEHICULO,CONDUCTOR VEHICULO,27,MASCULINO,UNION LIBRE,SECUNDARIA,CAMION,CHEVROLET,LINEA STANDARD,2017,BLANCO,1
Ene,ATLÁNTICO,BARRANQUILLA (CT),Miércoles,7:30:00,EL PORVENIR,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,CONDUCTOR VEHICULO,A PIE,70,MASCULINO,CASADO,SUPERIOR,AUTOMOVIL,MAZDA,323 HB,1995,ROJO,1
Ene,CASANARE,YOPAL (CT),Miércoles,8:00:00,BUENA VISTA,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,71,FEMENINO,VIUDO,SUPERIOR,CAMIONETA,GREAT WALL,WINGLE 5,2014,ROJO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,10:00:00,EL TUNAL II E-6,URBANA,BAHIA,LLAVE MAESTRA,A PIE,A PIE,21,MASCULINO,SOLTERO,SUPERIOR,CAMIONETA,CHEVROLET,LUV TFR LWB,1996,ROJO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,21:30:00,BOITA E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,57,MASCULINO,SEPARADO,TECNICO,AUTOMOVIL,CHEVROLET,SPRINT,1988,CHAMPAÑA,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,15:00:00,VILLA LUZ E-10,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,PASAJERO VEHICULO,A PIE,43,FEMENINO,CASADO,SECUNDARIA,VEHICULO-PANEL,MAZDA,626,NO REPORTA,STRATO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,3:00:00,PASEO DE LA COLINA E-11,URBANA,VIAS PUBLICAS,ESCOPOLAMINA,A PIE,CONDUCTOR VEHICULO,18,MASCULINO,SOLTERO,PRIMARIA,CAMIONETA,TOYOTA,PRADO,2003,VERDE,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,22:30:00,GINEBRA E-1,URBANA,GARAJE,LLAVE MAESTRA,A PIE,A PIE,65,FEMENINO,UNION LIBRE,SECUNDARIA,AUTOMOVIL,MITSUBISHI,ASX 2.0L,2014,PLATA,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,22:30:00,GINEBRA E-1,URBANA,GARAJE,LLAVE MAESTRA,A PIE,A PIE,65,FEMENINO,UNION LIBRE,SECUNDARIA,CAMPERO,MITSUBISHI,NATIVA GLS,2008,PLATA,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,17:30:00,PERDOMO E-19,URBANA,PARQUEADERO,LLAVE MAESTRA,A PIE,A PIE,43,MASCULINO,UNION LIBRE,SECUNDARIA,AUTOMOVIL,CHEVROLET,OPTRA,2008,AZUL,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,12:30:00,RESTREPO E-15,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,60,MASCULINO,CASADO,SECUNDARIA,AUTOMOVIL,HYUNDAI,I10GL,2009,NEGRO,1
Ene,CUNDINAMARCA,FACATATIVÁ,Miércoles,2:30:00,LLANO POPULAR,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,48,MASCULINO,SOLTERO,SECUNDARIA,CAMION,CHEVROLET,LINEA STANDARD,2005,NO REPORTA,1
Ene,CUNDINAMARCA,FUNZA,Miércoles,0:00:00,VER. EL CERRITO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,22,FEMENINO,SOLTERO,NO REPORTA,AUTOMOVIL,RENAULT,LINEA STANDARD,2016,NO REPORTA,1
Ene,MAGDALENA,CIÉNAGA,Miércoles,14:00:00,JORGE ELICER GAITAN,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,CONDUCTOR VEHICULO,42,MASCULINO,SOLTERO,PRIMARIA,AUTOMOVIL,CHEVROLET,LINEA STANDARD,2001,ROJO,1
Ene,MAGDALENA,FUNDACIÓN,Miércoles,10:00:00,CENTRO (C-1),URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,CONDUCTOR VEHICULO,A PIE,37,MASCULINO,UNION LIBRE,SECUNDARIA,AUTOMOVIL,CHEVROLET,LINEA STANDARD,NO REPORTA,NO REPORTA,1
Ene,META,VILLAVICENCIO (CT),Miércoles,16:30:00,LA CASTILLA,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,49,MASCULINO,UNION LIBRE,SECUNDARIA,AUTOMOVIL,MAZDA,MAZDA2,2015,BLANCO,1
Ene,RISARALDA,PEREIRA (CT),Miércoles,3:00:00,SAMARIA I,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,64,MASCULINO,CASADO,PRIMARIA,CAMIONETA,MAZDA,B 2200,1994,BLANCO,1
Ene,SANTANDER,GIRÓN,Miércoles,18:30:00,ANILLO VIAL,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR VEHICULO,48,MASCULINO,CASADO,SECUNDARIA,VOLQUETA,INTERNATIONAL,LINEA STANDARD,2012,BLANCO,1
Ene,SANTANDER,PIEDECUESTA,Miércoles,12:00:00,JUNIN,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,40,FEMENINO,UNION LIBRE,SECUNDARIA,AUTOMOVIL,CHEVROLET,SPARK,2017,ROJO,1
Ene,VALLE,CALI (CT),Miércoles,9:00:00,LOS ALCAZARES E6,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,64,MASCULINO,CASADO,PRIMARIA,AUTOMOVIL,CHEVROLET,SPRINT,1992,CHAMPAÑA,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Jueves,21:00:00,BOLIVARIANA C-11,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,38,FEMENINO,CASADO,SUPERIOR,AUTOMOVIL,HYUNDAI,ATOS PRIME GL,2006,PLATA,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Jueves,19:30:00,MIRAFLORES  C-9,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,46,MASCULINO,SOLTERO,SECUNDARIA,AUTOMOVIL,MAZDA,323,1986,VERDE,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Jueves,22:30:00,EL RODEO C-15,URBANA,VIAS PUBLICAS,ESCOPOLAMINA,CONDUCTOR TAXI,CONDUCTOR TAXI,29,FEMENINO,UNION LIBRE,SUPERIOR,TAXI,HYUNDAI,LINEA STANDARD,2014,AMARILLO,1
Ene,ARAUCA,TAME,Jueves,9:00:00,CENTRO,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,CONDUCTOR VEHICULO,CONDUCTOR VEHICULO,46,MASCULINO,SOLTERO,PRIMARIA,AUTOMOVIL,NISSAN,SENTRAB17,2015,ROJO,1
Ene,ARAUCA,TAME,Jueves,11:00:00,VEREDA AGUA CLARAS,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,18,FEMENINO,SOLTERO,PRIMARIA,CAMIONETA,FORD,LINEA STANDARD,2016,NO REPORTA,1
Ene,ATLÁNTICO,BARRANQUILLA (CT),Jueves,4:00:00,LOS ANDES,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,44,MASCULINO,CASADO,SUPERIOR,AUTOMOVIL,MAZDA,ALLEGRO,1997,ROJO,1
Ene,BOLÍVAR,CARTAGENA (CT),Jueves,21:10:00,EL LAGUITO,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,44,MASCULINO,UNION LIBRE,SECUNDARIA,AUTOMOVIL,BMW,X1 xDrive28i,2010,CAFE,1
Ene,CESAR,EL PASO,Jueves,5:00:00,VEREDA,RURAL,CARRETERA,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR VEHICULO,33,MASCULINO,UNION LIBRE,SECUNDARIA,TRACTO_CAMION,CHEVROLET,FTR,1989,AZUL,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,19:00:00,ALOHA SUR E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,51,MASCULINO,CASADO,SUPERIOR,AUTOMOVIL,CHEVROLET,AVEO,2009,NEGRO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,20:00:00,CASTILLA REAL     E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,27,MASCULINO,CASADO,SUPERIOR,AUTOMOVIL,CHEVROLET,SPARK,2011,ROJO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,14:00:00,BARRIOS UNIDOS E-12,URBANA,VIAS PUBLICAS,ESCOPOLAMINA,A PIE,A PIE,60,MASCULINO,UNION LIBRE,SECUNDARIA,CAMIONETA,DODGE,D 100 115,1979,VERDE,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,18:00:00,LA IGUALDAD E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,33,MASCULINO,UNION LIBRE,SUPERIOR,AUTOMOVIL,CHEVROLET,SPARK,2017,PLATA,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,7:00:00,OLAYA E-18,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,28,MASCULINO,UNION LIBRE,SECUNDARIA,AUTOMOVIL,CHEVROLET,SPARK,2015,NEGRO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,13:00:00,BAVARIA E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,44,MASCULINO,CASADO,SECUNDARIA,AUTOMOVIL,MAZDA,626 L,1985,ROJO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,7:30:00,CARVAJAL E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,53,MASCULINO,UNION LIBRE,SUPERIOR,CAMIONETA,RENAULT,DUSTER DYNAMIQUE,2015,GRIS,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,17:25:00,RESTREPO E-15,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,62,MASCULINO,UNION LIBRE,PRIMARIA,AUTOMOVIL,CHEVROLET,CHEVETTE,1993,ESTRATO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,18:56:00,LOS LIBERTADORES E-4,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,30,MASCULINO,SOLTERO,PRIMARIA,AUTOMOVIL,CHEVROLET,SPARK,2017,BLANCO,1
Ene,GUAJIRA,ALBANIA,Jueves,10:20:00,TRAMO DE VIA ALBANIA - CUESTESITAS,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,25,MASCULINO,SOLTERO,SECUNDARIA,CAMIONETA,CHEVROLET,DIMAX,2015,BLANCO,1
Ene,MAGDALENA,SANTA MARTA (CT),Jueves,20:30:00,MAMATOCO,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,40,MASCULINO,CASADO,SECUNDARIA,BUSETA,HYUNDAI,HD 120,2012,BLANCO,1
Ene,NARIÑO,PASTO (CT),Jueves,0:00:00,CENTRO,URBANA,FRENTE A EDIFICIO - VIA PUBLICA,LLAVE MAESTRA,A PIE,A PIE,37,MASCULINO,CASADO,SECUNDARIA,AUTOMOVIL,RENAULT,CLIO,1999,ROJO,1
Ene,NARIÑO,SAMANIEGO,Jueves,3:00:00,INDUSTRIAL,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,54,MASCULINO,CASADO,SECUNDARIA,CAMPERO,DAIHATSU,LINEA STANDARD,1981,BLANCO,1
Ene,NORTE DE SANTANDER,CÚCUTA (CT),Jueves,3:00:00,BARRIO GERONIMO URIBE,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,CONDUCTOR MOTOCICLETA,A PIE,36,MASCULINO,UNION LIBRE,PRIMARIA,AUTOMOVIL,RENAULT,LAGUNA,1995,ROJO,1
Ene,VALLE,CALI (CT),Jueves,18:00:00,LA CASCADA E19,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,45,MASCULINO,SOLTERO,SECUNDARIA,CAMIONETA,CHEVROLET,LUV,1983,CHAMPAÑA,1
Ene,VALLE,CALI (CT),Jueves,13:00:00,URB. CIUDAD JARDIN E22,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,46,FEMENINO,SOLTERO,PRIMARIA,CAMIONETA,TOYOTA,FORTUNER URBANA,2017,PLATA,1
Ene,VALLE,CALI (CT),Jueves,4:00:00,EVARISTO GARCIA E4,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,28,MASCULINO,UNION LIBRE,SECUNDARIA,AUTOMOVIL,MAZDA,B 2000,1982,VERDE,1
Ene,ANTIOQUIA,CALDAS,Viernes,23:30:00,VDA. LA SALADA PARTE BAJA,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO VEHICULO,CONDUCTOR VEHICULO,41,MASCULINO,UNION LIBRE,SECUNDARIA,CAMION,JAC,HFC1063KN,2015,BLANCO,1
Ene,ANTIOQUIA,GUARNE,Viernes,19:00:00,EL MOLINO,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,73,MASCULINO,SOLTERO,PRIMARIA,CAMIONETA,KIA,SORENTO,2011,BRONCE,1
Ene,ANTIOQUIA,GUARNE,Viernes,19:00:00,EL MOLINO,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,73,MASCULINO,SOLTERO,PRIMARIA,CAMIONETA,RENAULT,KOLEOS,2013,NEGRO,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Viernes,22:00:00,EL DIAMANTE C-7,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,23,FEMENINO,SOLTERO,SUPERIOR,AUTOMOVIL,MAZDA,121,1998,BLANCO,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Viernes,14:00:00,GUAYABAL C-15,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,20,MASCULINO,UNION LIBRE,TECNICO,FURGON,CHEVROLET,N300,2016,BLANCO,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Viernes,14:00:00,PERPETUO SOCORRO C-10,URBANA,SEMÁFORO,ARMA BLANCA / CORTOPUNZANTE,A PIE,CONDUCTOR VEHICULO,42,MASCULINO,CASADO,SECUNDARIA,AUTOMOVIL,RENAULT,LOGAN EXPRESSION,2016,GRIS,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Viernes,11:30:00,SANTA FE C-15,URBANA,TALLERES MECANICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,27,MASCULINO,SOLTERO,TECNICO,AUTOMOVIL,CHEVROLET,SPARK LIFE,2010,NEGRO,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Viernes,16:20:00,NOEL C-15,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR VEHICULO,62,MASCULINO,CASADO,SECUNDARIA,CAMIONETA,TOYOTA,FORTUNER,2015,GRIS,1
Ene,CALDAS,RIOSUCIO,Lunes,1:30:00,FUNDADORES,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,36,MASCULINO,CASADO,SECUNDARIA,CAMIONETA,TOYOTA,FJ 73,1985,BLANCO,1
